Date,Temperature,Humidity,Rainfall,Month
2008-12-01,18.15,46.5,0.6,December
2008-12-02,16.25,34.5,0.0,December
2008-12-03,19.3,34.0,0.0,December
2008-12-04,18.6,30.5,0.0,December
2008-12-05,24.9,57.5,1.0,December
2008-12-06,22.15,39.0,0.2,December
2008-12-07,19.65,34.0,0.0,December
2008-12-08,17.2,33.5,0.0,December
2008-12-09,20.799999999999997,25.5,0.0,December
2008-12-10,21.6,42.5,1.4,December
2008-12-11,21.9,35.0,0.0,December
2008-12-12,18.8,90.0,2.2,December
2008-12-13,17.25,84.5,15.6,December
2008-12-14,16.8,54.0,3.6,December
2008-12-15,16.5,44.5,0.0,December
2008-12-16,18.75,39.0,1.9141149119893721,December
2008-12-17,17.5,75.5,0.0,December
2008-12-18,18.2,72.5,16.8,December
2008-12-19,16.85,39.5,10.6,December
2008-12-20,17.700000000000003,35.5,0.0,December
2008-12-21,20.4,42.0,0.0,December
2008-12-22,25.05,33.0,0.0,December
2008-12-23,26.15,39.0,0.0,December
2008-12-24,23.1,39.0,0.0,December
2008-12-25,22.5,33.0,0.0,December
2008-12-26,25.049999999999997,32.0,0.0,December
2008-12-27,24.95,34.5,0.0,December
2008-12-28,26.400000000000002,35.5,0.0,December
2008-12-29,23.45,35.5,0.0,December
2008-12-30,18.35,74.0,1.2,December
2008-12-31,18.2,38.0,0.8,December
2009-01-01,18.9,36.0,0.0,January
2009-01-02,16.75,33.0,0.0,January
2009-01-03,19.65,32.5,0.0,January
2009-01-04,23.450000000000003,26.5,0.0,January
2009-01-05,24.349999999999998,25.0,0.0,January
2009-01-06,25.799999999999997,20.5,0.0,January
2009-01-07,27.5,23.0,0.0,January
2009-01-08,21.15,29.0,0.0,January
2009-01-09,20.45,27.0,0.0,January
2009-01-10,23.9,30.0,0.0,January
2009-01-11,24.45,41.5,0.0,January
2009-01-12,26.0,32.0,0.0,January
2009-01-13,27.450000000000003,35.0,0.0,January
2009-01-14,30.2,24.0,0.0,January
2009-01-15,26.25,31.0,0.0,January
2009-01-16,20.8,33.0,0.0,January
2009-01-17,19.45,25.5,0.0,January
2009-01-18,21.75,25.5,0.0,January
2009-01-19,25.25,24.5,0.0,January
2009-01-20,29.25,28.5,0.0,January
2009-01-21,28.700000000000003,32.5,0.8,January
2009-01-22,29.2,49.5,0.6,January
2009-01-23,27.0,35.5,6.4,January
2009-01-24,25.700000000000003,31.0,0.0,January
2009-01-25,24.15,27.0,0.0,January
2009-01-26,27.049999999999997,30.0,0.0,January
2009-01-27,28.35,36.5,0.0,January
2009-01-28,30.55,30.0,0.0,January
2009-01-29,31.65,25.5,0.0,January
